id,participant_id,question_id,selected_index,rating,comment,time_spent,created_at
1,41dacd10-efdc-4a7a-be29-d3abc02b1b95,q1-1,3,,,23.855231,2025-11-10T13:31:47.216241
2,41dacd10-efdc-4a7a-be29-d3abc02b1b95,q1-2,3,,,9.025457,2025-11-10T13:31:57.044467
3,41dacd10-efdc-4a7a-be29-d3abc02b1b95,q2-1,1,,,36.840678,2025-11-10T13:32:34.693678
4,41dacd10-efdc-4a7a-be29-d3abc02b1b95,q2-2,1,,,21.546659,2025-11-10T13:32:57.021673
5,41dacd10-efdc-4a7a-be29-d3abc02b1b95,q3-1,3,,,13.424731,2025-11-10T13:33:11.215731
6,41dacd10-efdc-4a7a-be29-d3abc02b1b95,q3-2,2,,,25.572255,2025-11-10T13:33:55.760255
7,3de4df7c-76ce-4cb1-9450-07dea2d13046,q1-1,3,,,8.147171,2025-11-10T13:33:58.739171
8,3de4df7c-76ce-4cb1-9450-07dea2d13046,q1-2,3,,,4.986128,2025-11-10T13:34:02.893128
9,3de4df7c-76ce-4cb1-9450-07dea2d13046,q2-1,3,,,23.968821,2025-11-10T13:34:26.041821
10,41dacd10-efdc-4a7a-be29-d3abc02b1b95,q4-1,3,,,29.885199,2025-11-10T13:34:26.665199
11,3de4df7c-76ce-4cb1-9450-07dea2d13046,q2-2,3,,,3.810391,2025-11-10T13:34:29.082391
12,41dacd10-efdc-4a7a-be29-d3abc02b1b95,q4-2,3,,,8.321184,2025-11-10T13:34:35.834184
13,3de4df7c-76ce-4cb1-9450-07dea2d13046,q3-1,3,,,15.927197,2025-11-10T13:34:44.187197
14,3de4df7c-76ce-4cb1-9450-07dea2d13046,q3-2,3,,,49.157462,2025-11-10T13:35:32.537462
15,3de4df7c-76ce-4cb1-9450-07dea2d13046,q4-1,3,,,19.871433,2025-11-10T13:35:51.593985
16,767b7c35-049b-4873-a372-1efe14531a1e,q1-1,3,,,34.26585,2025-11-10T13:37:02.110850
17,767b7c35-049b-4873-a372-1efe14531a1e,q1-2,3,,,24.735972,2025-11-10T13:37:18.224972
18,767b7c35-049b-4873-a372-1efe14531a1e,q2-1,3,,,25.124083,2025-11-10T13:37:34.749832
19,1d9fc214-533d-4212-a65b-3c9e55c3d0e5,q1-1,3,,,2.777403,2025-11-10T13:37:49.906434
20,767b7c35-049b-4873-a372-1efe14531a1e,q2-2,2,,,30.441919,2025-11-10T13:37:56.565919
21,767b7c35-049b-4873-a372-1efe14531a1e,q3-1,3,,,38.231433,2025-11-10T13:38:26.174433
22,767b7c35-049b-4873-a372-1efe14531a1e,q3-2,3,,,12.917871,2025-11-10T13:38:30.466871
23,778850eb-b099-4fc2-984d-1efa6b852c6f,q1-1,3,,,3.24074,2025-11-10T13:38:32.774740
24,767b7c35-049b-4873-a372-1efe14531a1e,q4-1,3,,,15.549257,2025-11-10T13:38:37.397257
25,778850eb-b099-4fc2-984d-1efa6b852c6f,q1-2,3,,,8.534995,2025-11-10T13:38:42.054291
26,767b7c35-049b-4873-a372-1efe14531a1e,q4-2,3,,,13.347078,2025-11-10T13:38:42.133120
27,767b7c35-049b-4873-a372-1efe14531a1e,q5-1,3,,,25.390976,2025-11-10T13:38:58.903976
28,767b7c35-049b-4873-a372-1efe14531a1e,q5-2,3,,,11.481216,2025-11-10T13:39:01.797965
29,778850eb-b099-4fc2-984d-1efa6b852c6f,q2-1,3,,,30.300351,2025-11-10T13:39:13.100351
30,778850eb-b099-4fc2-984d-1efa6b852c6f,q2-2,3,,,1.981413,2025-11-10T13:39:15.853413
31,778850eb-b099-4fc2-984d-1efa6b852c6f,q3-1,3,,,9.827932,2025-11-10T13:39:26.447932
32,778850eb-b099-4fc2-984d-1efa6b852c6f,q3-2,3,,,4.748688,2025-11-10T13:39:31.982688
33,767b7c35-049b-4873-a372-1efe14531a1e,q6-1,3,,,44.298499,2025-11-10T13:39:37.483818
34,778850eb-b099-4fc2-984d-1efa6b852c6f,q4-1,3,,,5.543736,2025-11-10T13:39:38.252736
35,767b7c35-049b-4873-a372-1efe14531a1e,q6-2,3,,,10.1882,2025-11-10T13:39:39.045200
36,778850eb-b099-4fc2-984d-1efa6b852c6f,q4-2,3,,,5.364942,2025-11-10T13:39:44.424942
37,767b7c35-049b-4873-a372-1efe14531a1e,q7-1,3,,,27.417148,2025-11-10T13:39:57.893148
38,767b7c35-049b-4873-a372-1efe14531a1e,q7-2,3,,,11.689732,2025-11-10T13:40:00.963488
